Mtot: 1.59517068564e+33 g; Rtot 704000000.0 cm
rho_central: 10000000.0 g/cm^3
P_central: 8.37239119678e+23 g/cm^3
 
c1: r/Rtot, c2: rho*Rtot^3/Mtot, c3: m/Mtot, c4: (drho/dr)*Rtot^4/Mtot
0.00000000000E+00 2.18731241202E+00 0.00000000000E+00 0.00000000000E+00 
1.42045454545E-03 2.18731241202E+00 2.62591974795E-15 -1.18385598808E-01
2.98295454545E-02 2.17631131367E+00 2.42428771034E-04 -7.40164077842E-01
5.82386363636E-02 2.14552820960E+00 1.78899644416E-03 -1.42109631053E+00
8.66477272727E-02 2.09599475544E+00 5.81001589754E-03 -2.05685480053E+00
1.15056818182E-01 2.02926248935E+00 1.33427168624E-02 -2.62911634236E+00
1.43465909091E-01 1.94735131079E+00 2.52396430300E-02 -3.12338490722E+00
1.71875000000E-01 1.85263019299E+00 4.21309559086E-02 -3.52965416685E+00
2.00284090909E-01 1.74768548572E+00 6.44026334028E-02 -3.84262997904E+00
2.28693181818E-01 1.63518859425E+00 9.21909205354E-02 -4.06156029738E+00
2.57102272727E-01 1.51777330574E+00 1.25391887441E-01 -4.18974004321E+00
2.85511363636E-01 1.39793070793E+00 1.63683755176E-01 -4.23378485106E+00
3.13920454545E-01 1.27792679090E+00 2.06558870030E-01 -4.20277786236E+00
3.42329545455E-01 1.15974490649E+00 2.53361870289E-01 -4.10738835012E+00
3.70738636364E-01 1.04505267378E+00 3.03330655503E-01 -3.95904395095E+00
3.99147727273E-01 9.35190919059E-01 3.55637149629E-01 -3.76921487075E+00
4.27556818182E-01 8.31180935457E-01 4.09425435253E-01 -3.54884359658E+00
4.55965909091E-01 7.33745722160E-01 4.63845515805E-01 -3.30793124011E+00
4.84375000000E-01 6.43340810546E-01 5.18081641584E-01 -3.05527400836E+00
5.12784090909E-01 5.60190652752E-01 5.71374744425E-01 -2.79833134533E+00
5.41193181818E-01 4.84327176953E-01 6.23039023267E-01 -2.54320078676E+00
5.69602272727E-01 4.15627860181E-01 6.72473091836E-01 -2.29467258465E+00
5.98011363636E-01 3.53851422931E-01 7.19166342859E-01 -2.05633844500E+00
6.26420454545E-01 2.98669935069E-01 7.62701315750E-01 -1.83073203293E+00
6.54829545455E-01 2.49696698036E-01 8.02752899057E-01 -1.61948316249E+00
6.83238636364E-01 2.06509719041E-01 8.39085179412E-01 -1.42347199273E+00
7.11647727273E-01 1.68670923359E-01 8.71546688895E-01 -1.24297354552E+00
7.40056818182E-01 1.35741477872E-01 9.00064723759E-01 -1.07778609794E+00
7.68465909091E-01 1.07293747600E-01 9.24639327886E-01 -9.27339252178E-01
7.96875000000E-01 8.29205085884E-02 9.45337471992E-01 -7.90778482992E-01
8.25284090909E-01 6.22421378295E-02 9.62287935252E-01 -6.67022113549E-01
8.53693181818E-01 4.49126662163E-02 9.75677443056E-01 -5.54782274244E-01
8.82102272727E-01 3.06259759508E-02 9.85748803206E-01 -4.52528066528E-01
9.10511363636E-01 1.91245204749E-02 9.92802292580E-01 -3.58327201979E-01
9.38920454545E-01 1.02164999723E-02 9.97202935304E-01 -2.69341336563E-01
9.67329545455E-01 3.82266753709E-03 9.99400841586E-01 -1.79849904300E-01
9.95738636364E-01 2.04008247338E-04 9.99995036269E-01 -6.25178735341E-02
1.00000000000E+00 7.91142191492E-06 1.00000000000E+00 -3.41243035156E-02
Done
